block;originl_rep;replicate;matingpair;damID;sireID;tubeID;plant;isolate;treatment;inoculationdate;Death_date;Pupation_date;Days_to_pupation;Days_to_death;Day_10_Mortality;Pupal_weight;Pupal_sex;Notes
1;1;1;1;7;64;1 _ 1;Soya;CON;Soya_CON;2018-11-21;NA;2018-12-18;27;NA;0;0,155;male;
1;2;2;1;7;64;1 _ 2;Soya;CON;Soya_CON;2018-11-21;NA;2018-12-14;23;NA;0;0,155;male;
1;3;3;1;7;64;1 _ 3;Soya;CON;Soya_CON;2018-11-21;NA;2018-12-16;25;NA;0;0,14;male;
1;4;4;1;7;64;1 _ 4;Soya;CON;Soya_CON;2018-11-21;NA;2018-12-18;27;NA;0;0,108;male;
1;5;5;1;7;64;1 _ 5;Soya;CON;Soya_CON;2018-11-21;NA;2018-12-23;32;NA;0;0,165;male;
1;6;6;1;7;64;1 _ 6;Soya;CON;Soya_CON;2018-11-21;NA;2018-12-14;23;NA;0;0,123;male;
1;7;7;1;7;64;1 _ 7;Soya;CON;Soya_CON;2018-11-21;NA;2018-12-26;35;NA;0;0,132;male;
1;8;8;1;7;64;1 _ 8;Soya;CON;Soya_CON;2018-11-21;NA;2018-12-24;33;NA;0;0,14;male;
1;9;9;1;7;64;1 _ 9;Soya;CON;Soya_CON;2018-11-21;NA;2018-12-18;27;NA;0;0,102;male;
1;10;10;1;7;64;1 _ 10;Soya;CON;Soya_CON;2018-11-21;NA;2018-12-23;32;NA;0;0,073;male;
1;11;11;1;7;64;1 _ 11;Soya;BB;Soya_BB;2018-11-21;NA;2018-12-23;32;NA;0;0,142;male;
1;12;12;1;7;64;1 _ 12;Soya;BB;Soya_BB;2018-11-21;NA;2018-12-14;23;NA;0;0,157;female;
1;13;13;1;7;64;1 _ 13;Soya;BB;Soya_BB;2018-11-21;2018-12-18;NA;NA;27;0;NA;NA;
1;14;14;1;7;64;1 _ 14;Soya;BB;Soya_BB;2018-11-21;2018-12-07;NA;NA;16;0;NA;NA;
1;15;15;1;7;64;1 _ 15;Soya;BB;Soya_BB;2018-11-21;NA;2018-12-17;26;NA;0;0,12;female;
1;16;16;1;7;64;1 _ 16;Soya;BB;Soya_BB;2018-11-21;NA;2018-12-16;25;NA;0;0,132;male;
1;17;17;1;7;64;1 _ 17;Soya;BB;Soya_BB;2018-11-21;2018-11-29;NA;NA;8;1;NA;NA;
1;18;18;1;7;64;1 _ 18;Soya;BB;Soya_BB;2018-11-21;NA;2018-12-18;27;NA;0;0,181;female;
1;19;19;1;7;64;1 _ 19;Soya;BB;Soya_BB;2018-11-21;NA;2018-12-14;23;NA;0;0,162;male;
1;20;20;1;7;64;1 _ 20;Soya;BB;Soya_BB;2018-11-21;2018-12-14;NA;NA;23;0;NA;NA;
